标题,详细描述,预计开始,预计结束,预计工时(h)
"商品查询服务与product_query_node完整实现","_do_query_product:调用product-details API(POST /api/v1/ext-merchant/product-details,body={tenantId,productId});_do_search_product:调用product-search API(POST /api/v1/ext-merchant/product-search,body={tenantId,keyword,pageNo,pageSize});query_product封装(优先product_id精确查→回退product_name搜索→最后keyword,模糊搜索自动适配productList/list/records/items多种分页结构);format_product_result(搜索列表取前5条摘要展示序号+名称+价格¥,详情展示商品名/价格/原价/库存有货/状态上架下架/商品图片URL/供应商/规格SKU列表含specName+price+stock);product_query_node(API优先→失败降级知识库RAG检索kb_types=[product,faq] threshold=0.15→LLM生成→完全失败返回引导话术;search_query首词拆分short_query优化+retry机制);prompts.py补充product_id实体提取字段",6月10日,6月11日,8
"优惠券/账户/投诉/转人工四个域节点","coupon_query_node:_do_query_coupon调用coupon-list API(POST /api/v1/ext-merchant/coupon-list,body={tenantId,thirdUserId,status,page,pageSize}),query_coupon封装,format_coupon_result格式化(名称/类型/面值/使用门槛/有效期/状态/适用商品,手机号脱敏);account_query_node:_do_query_profile调用user-profile API,query_user_profile封装,format_profile(会员等级/积分余额/地址管理/账户安全,手机号脱敏);complaint_node(安抚话术COMPLAINT_PROMPT:先道歉→总结问题→转接人工→不自行承诺解决方案);human_service_node(HUMAN_SERVICE_PROMPT:确认转接→总结问题→告知等待);call_and_log工具调用日志(tool_name参数记录→func异步执行→_truncate截断4KB→asyncio.to_thread异步DB写入→异常catch不影响主流程,记录tenant_id/tool_name/tool_params/tool_result/success/duration_ms/error_message)",6月11日,6月12日,8
"Nacos服务发现与注册完整集成","nacos_client.py:Nacos客户端封装(nacos_request统一入口,method+service_name+path+params+json_data+headers+timeout参数),断路器_circuit_breaker(record_success/record_failure/is_available,故障实例标记不可用,get_base_url+invalidate_cache换下一实例);ServiceDiscovery类(get_healthy_instances 30s TTL缓存→filter healthy_only+enabled→Round-Robin轮询get_instance→get_base_url拼接http://ip:port);registry.py:register_service(启动时从Nacos获取或注册服务,解析service_ip逗号分隔支持多网卡)→heartbeat_loop(15s间隔发送心跳,asyncio.create_task强引用_app_heartbeat_task防GC回收)→deregister_service(关闭时注销);main.py lifespan:启动→Nacos注册→生产环境注册失败拒绝启动;关闭→deregister→close_agent→close_shared_client→close_redis→shutdown_write_thread→shutdown_retrieval_executor→shutdown_embed_executor",6月12日,6月13日,8
"消费者聊天SSE流式API","POST /api/v1/chat/{tenant_id}/stream:优先从Gateway Header提取身份(X-Tenant-Id/X-Buyer-Id/X-Username)→tenant_id Header>URL>body三级优先级→_get_tenant校验租户存在且活跃→validate_message四级校验(空/超长/注入/敏感词)→_locate_or_create_session会话定位(session_id精确匹配thread_id→tenant_id一致性安全校验防跨租户→不存在自动创建)→用户消息Message持久化db.flush→get_agent获取Agent实例→config={configurable:{thread_id:session_id}}→input_state构造输入→agent.astream(stream_mode=[updates,messages])双模式推送:mode=messages时LLM token级别实时推送chunk.content(跳过classify_intent节点token不推前端),mode=updates时推送节点status start/end事件+提取final_answer(区分streaming节点和非streaming节点补推完整文本)→finally:AI回复Message持久化+Conversation.message_count原子+2→db.commit→SSE done事件含session_id;120s总超时(deadline=time.monotonic+120,每轮asyncio.wait_for剩余时间)→超时/异常rollback+SSE error事件;StreamingResponse headers含Cache-Control:no-cache/Connection:keep-alive/X-Accel-Buffering:no",6月13日,6月14日,10
"会话历史API与租户/租户管理API","GET /api/v1/chat/{tenant_id}/history/{session_id}:tenant校验→conversation按thread_id+tenant_id查找→可选user_id归属校验(不一致403)→messages按id asc排序→ChatHistoryResponse输出(role/content/time);POST /api/v1/chat/{tenant_id}/new:Gateway Header提取身份→生成thread_id(sess_+uuid4.hex[:16])→创建Conversation记录(channel=api/status=ai_serving)→返回thread_id供聚宝赞端后续SSE使用;租户管理API(GET/POST/PUT/DELETE /api/v1/tenant,Admin API Key认证);统计API(GET /api/v1/stats含对话量/意图分布/转人工率/平均延迟等dashboard数据)",6月15日,6月15日,5
"Gateway双模式认证完整实现","verify_request统一认证入口(GATEWAY_AUTH_MODE=jwt/static/both):JWT模式:extract_jwt_from_request提取Authorization:Bearer→verify_jwt_token HS256验签(pyjwt.decode含ExpiredSignatureError→TOKEN_EXPIRED/InvalidTokenError→TOKEN_INVALID,未配置JWT_SECRET开发环境跳过验签)→extract_identity从Gateway Header注入提取(X-Tenant-Id/X-Buyer-Id/X-User-Id/X-Username/X-Permissions等8个字段)→写入request.state.identity;Static模式:X-Gateway-Verified头匹配GATEWAY_VERIFIED_VALUE→_get_client_ip(优先X-Real-IP>X-Forwarded-For>request.client.host)→_is_ip_in_whitelist CIDR解析+线程安全懒加载_parse_ip_whitelist→不在白名单403;both模式优先JWT回退static;所有方式失败返回401 AUTH_REQUIRED;verify_chat_api_key管理接口Admin API Key认证;verify_gateway_request向后兼容别名;JWT密钥三级加载(_load_jwt_secret_from_nacos解析gateway-service.yaml→环境变量JWT_SECRET→开发默认密钥)",6月15日,6月16日,8
"安全防护体系(注入检测+敏感词+输出清洗+日志脱敏)","validate_message四级校验(空或纯空格→提示输入/超长MAX_MESSAGE_LENGTH→提示简要描述/注入检测detect_injection→阻断/敏感内容check_sensitive_content→阻断安全提示);detect_injection(10+中英文注入模式正则:ignore previous instructions/forget instructions/you are now/system prompt/new role扮演/admin override/jailbreak绕过/print system/中文忽略之前指令/忘记你的设定/输出你的系统提示词,大小写不敏感,code block检测);check_sensitive_content(手机号138xxxx/身份证18位/银行卡16-19位/邮箱+零宽字符_bypass防御:_strip_zero_width移除​‌‍﻿­+_normalize_unicode NFKC全角归一化+_preprocess组合两者);sanitize_output输出过滤(OUTPUT_FILTER_PATTERNS正则移除系统提示词泄露,Unicode BOM移除);sensitive_filter日志脱敏(手机号保留前3后4/身份证保留前4后4/银行卡保留后4/邮箱保留@前2位+@后/API Key保留前后4位中间*);敏感词库sensitive_words.txt(50+词覆盖赌博/色情/毒品/诈骗/隐私/政治,每行一词支持注释)",6月16日,6月17日,8
"中间件体系(5层中间件+全局异常处理)","RequestIDMiddleware(X-Request-ID优先从请求头读取上游传递→否则自动生成UUID→ContextVar request_id_var注入下游logger使用→响应头X-Request-ID回传);MetricsMiddleware(mark_request_start→increment_active→call_next→record_request记录method+path+status_code+latency_ms→finally decrement_active,异常时记录500+record_error);BodySizeLimitMiddleware(第一层Content-Length头O(1)快速拦截>MAX_BODY_SIZE→413,第二层无Content-Length时流式读取_receive累计字节数检查超限抛_RequestBodyTooLarge→413 handler统一{code,message,request_id});RateLimitMiddleware(Redis滑动窗口INCR+EXPIRE,按IP限流default=120/min/chat=60/min可配置,429响应{code:RATE_LIMITED,message});CORS中间件(ALLOWED_ORIGINS逗号分隔解析,=*时强制allow_credentials=False防跨域凭证泄露日志警告);全局异常处理器(RequestValidationError 422→{code:VALIDATION_ERROR,message:str(exc.errors()),request_id}+Exception 500→{code:INTERNAL_ERROR,message:固定文案,request_id},生产环境不泄露异常细节)",6月17日,6月18日,7
"前端聊天界面SSE交互实现","Jinja2模板:base.html(CSP meta标签Content-Security-Policy+title block+style.css link+body block),consumer/chat.html(导航栏含AI标识+新会话按钮,聊天区chatArea,typingIndicator打字动画,快捷提问区quickQuestions 4按钮,textarea输入框+发送按钮,tenant-id meta标签传递TENANT_ID);CSS:chat.css 316行(消息气泡user/ai双色+头像+打字指示器三点动画+快捷问题grid布局+重试按钮样式+移动端768px响应式断点),style.css 356行(CSS自定义属性主题色系+navbar/按钮primary-secondary-danger/卡片/数据表格/标签/表单/分页/模态框/toast/状态点/admin布局/loading spinner/empty state);JS SSE交互chat.js 333行:fetch POST /stream body JSON→response.body.getReader() ReadableStream→手动解析SSE line by line→event.type=text增量渲染aiBubble.innerHTML+escapeHtml+\\n→<br>,event.type=status更新状态文字(classify_intent→正在分析/retrieve_knowledge→查找知识库/generate_answer→生成回答等8种映射),event.type=done保存sessionId到localStorage(隐私模式try-catch降级)+移除重试按钮,event.type=error显示错误红色+attachRetryButton重试,timeout 60s AbortController+AbortError提示,streamTotalTimeout 120s;generateSessionId使用crypto.randomUUID()防可预测;var→let块级作用域;CSP unsafe-inline移除→meta标签传参",6月19日,6月20日,6
"知识库管理API与同步服务","知识管理CRUD:文档上传(PDF/Markdown解析,chunk_size=800+chunk_overlap=100文本分割,embedding向量化,存入ChromaDB指定租户Collection),FAQ问答对增删改查(单条+批量导入,自动embedding同步),多租户数据隔离校验;process_sync同步服务:支持full全量(incremental对比增量)/batch批量/clear清空四种模式,单批max_sync_batch_size=1000条可配置,快照截断保护(超1000条仅保留前N条),sync_log记录每次同步含snapshot JSON字段支持回滚(回滚操作本身不记录log避免污染回滚源),FAQ解析支持##标记格式(问题/答案分行)+Q/A前缀格式;Alembic迁移管理(alembic.ini配置+env.py+initial_schema含全部9张表);种子数据seed.py(租户+FAQ+知识文档预设)",6月18日,6月20日,10
"监控告警与日志体系","Prometheus 7个指标:kefu_uptime_seconds(服务运行时长)/kefu_active_requests(活跃连接Gauge)/kefu_requests_total(请求总数Counter按method+path+status_code标签)/kefu_request_latency_ms(延迟Histogram分P50/P95/P99 buckets)/kefu_chat_messages_total(聊天消息Counter)/kefu_llm_calls_total(LLM调用Counter按node标签)/kefu_errors_total(错误Counter按type标签);采集函数:mark_request_start/record_request/increment_active/decrement_active/record_chat_message/record_cache(hit/miss)/record_retrieval(has_results)/record_error/record_request_timing(带intent标签);Grafana仪表盘kefu-agent.json 10面板(服务状态stat/uptime/活跃请求含阈值/聊天消息总量/错误总量含阈值/QPS by path timeseries/延迟P50-P95-P99 timeseries/LLM调用by node timeseries/错误分布pie chart/HTTP状态码分布bar gauge),provisioning自动加载;7条告警规则:ServiceDown(critical 1min ForExpr)/HighErrorRate(critical 2min rate>5%)/LLMCallsFailed(critical 1min increase>3)/HighLatency(warning 5min P99>5s quantile)/HighActiveRequests(warning 3min>50)/ChatMessageSpike(warning 5min increase>500)/HighHandoffRate(warning 10min rate>30%含clamp_min防除零);JSON格式结构化日志(json_logger.py生产环境)+文本格式(开发环境),sensitive_filter安装全局日志过滤器",6月20日,6月22日,10
"单元测试:安全/路由/核心模块/服务/混合检索","test_security.py(290行):validate_message空/空格/None/超长/刚超/注入检测/敏感/正常/trim,detect_injection空/None/10+注入模式中英文/代码块/大小写/正常/unicode全角零宽BOM绕过,sanitize_output None/空/正常/泄露过滤,check_sensitive_content空/None/4类敏感/正常/零宽绕过,unicode normalized+strip_zero_width;test_agent_nodes.py(209行):safe_llm_invoke成功返回content/成功无content_attr/重试后成功/全部重试耗尽/默认fallback/延迟递增验证,route_by_intent 12条映射参数化+unknown/missing/None default,INTENT_HIERARCHY 10类label/priority/sub_types/tool_chain完整性+count=10+无重复sub_types+高优先级intents验证;test_core_modules.py(333行):auth missing/wrong/correct key,token估算空/英文/中文/混合,消息裁剪空/单条/最后保留/system保留,知识裁剪空文档/score排序/预算遵守,LRU get/set/miss/TTL过期/eviction淘汰/access重排/clear/stats,意图缓存+答案缓存含tenant隔离,敏感过滤手机/订单号/无PII/None/empty;test_services.py(170行):format_order_result基本成功/子订单/收货人/失败/无数据/空数据,_map_order_status 8种状态码+大小写fallback,工单创建成功/DB错误/解决;test_hybrid_search.py(964行):ChromaDB解析含空/None/缺失/相似度计算/边缘distance=1.0/0.0/kb_type提取/fallback/None content/缺失metadatas,keyword_match正常/无匹配/min_hits阈值/空关键词/kb_types过滤/top_k限制/where_document fallback/部分匹配score/大小写,RRF融合vector-only/keyword-only/两者+去重/score计算/空,hybrid_search正常/空/阈值/默认阈值/score排序/top_k/collection失败优雅处理/keyword融合/vector-only fallback/keyword失败fallback",6月23日,6月24日,10
"集成测试与端到端测试","test_full_pipeline.py(522行):6大场景→知识同步(faq/product/public三种类型验证记录数+ChromaDB),多租户隔离(2租户各500条数据→跨租户查询验证隔离),消费者对话(11子测试:greeting问候/FAQ问→答匹配/追问上下文/product/product_order/order/handoff/complaint/安全敏感词拦截/参数校验/历史记录),知识更新(增量add/批量add+delete/单删/全量overwrite/clear清空),会话安全(跨租户访问403 SESSION_TENANT_MISMATCH),认证(Gateway头缺失401/错误/正确/IP白名单/kb_type无效400);test_e2e.py(88行):11种意图参数化(presale/coupons/products/accounts/orders/promotions/complaints/handoff/chitchat/payment/safety),SSE流式验证无错误+非空回答;test_stress.py并发压测;test_gateway_auth.py JWT+Static+IP白名单完整测试",6月24日,6月25日,10
"评估体系搭建(意图/检索/综合报告)","eval_intent.py(193行):46个测试用例×13类别(presale/coupons/products/accounts/orders/promotions/complaints/handoff/chitchat/payment/delivery/limits/inventory),每个用例调用get_agent().ainvoke→验证intent+sub_type匹配,per-case PASS/FAIL+aggregate accuracy统计,预期意图vs实际意图diff;eval_retrieval.py(113行):Hit Rate(召回正确文档占比)/MRR(倒数排名均值)/Precision@K(K=5),非检索场景greeting跳过给满分,调用hybrid_search→比对expected_doc_ids;eval_report.py(215行):15个综合测试×5类别(RAG精度同义词/意图边界/订单查询/规则覆盖/边缘场景),输出意图识别准确率+响应时间统计(mean/median/min/max)+答案质量(bad phrase检测禁止词+字长分析)+错误率+综合评分(intent accuracy×0.4+answer compliance×0.3+system reliability×0.3)",6月25日,6月26日,8
"CI/CD流水线与代码质量门禁","GitHub Actions CI(.github/workflows/ci.yml 3job 96行):test job(Python3.12→pip install→ruff check backend/ tests/→node -c chat.js→mypy --ignore-missing-imports --no-strict-optional continue-on-error→pytest tests/unit/ -v --tb=short --maxfail=5→pytest --cov=backend --cov-report=term-missing --cov-fail-under=70),build job(needs test→docker build -t kefu-agent:ci-test),deploy job(needs build→if github.ref==master push→Docker tag+push到REGISTRY→python deploy.py --server条件执行,需secrets.REGISTRY_URL/REGISTRY_USER/REGISTRY_PASS/DEPLOY_SERVER/DEPLOY_SSH_KEY);ruff配置+pre-commit hooks;代码覆盖率>=70%门禁(不含集成测试)",6月26日,6月26日,4
"Agent模块大重构(970行→7子模块,消除循环导入)","将nodes.py(970行)拆分为7个独立子模块:llm_utils.py(safe_llm_invoke/safe_llm_stream/get_classify_llm/get_generate_llm),retrieval_utils.py(BANNED_PATTERNS/BANNED_PHRASES/format_history/reciprocal_rank_fusion/keyword_boost/format_docs_for_llm/clean_answer迁移自原文件),classifier.py(classify_intent_node/route_by_intent独立),retriever.py(retrieve_knowledge_node独立),generator.py(generate_answer_node/greeting_answer_node独立),domains/(order.py/product.py/coupon.py/account.py/complaint.py/human.py 6个业务域节点),nodes.py改为纯向后兼容重导出模块(含私有别名_xxx,_safe_llm_invoke等,__all__声明11个公开符号),确保所有原有import路径不中断;同时修正5+依赖版本号(sentence-transformers/langgraph-checkpoint-postgres等),requirements-lock.txt重生成226行含全量传递依赖精确版本(torch==2.8.0/transformers==4.57.6/chromadb==1.5.9/langgraph==0.6.11等)",6月22日,6月22日,5
"P0阻断级Bug修复(6项)","1.退款确认误触发:移除退款流程后意图路由残留refund_query映射,route_by_intent route_map清理 2.PII泄露修复:日志补全脱敏覆盖范围(sensitive_filter增加身份证/银行卡/邮箱3类规则+lambda参数签名修正session_id掩码) 3.全量同步状态错误:sync_type=full时status字段被错误标记为partial,incremental剩余逻辑修复 4.FAQ同步失败无回滚:异常时通过SyncLog.snapshot JSON反序列化回滚至上次成功快照,回滚操作本身不记录新sync_log避免污染 5.chat.js timeoutId闭包TDZ引用错误:在reader.cancel().catch()回调中引用了外部let timeoutId,改为在闭包前捕获变量 6.会话ID可预测:generateSessionId()从Date.now()+Math.random改为crypto.randomUUID() CSPRNG安全随机",6月27日,6月27日,5
"P1严重级Bug修复(6项)","1.意图缓存忽略上下文:缓存key从仅message改为message+tenant_id+session_id三元组,防止跨会话串意图(如A用户查订单→B用户同消息被缓存命中) 2.子类键名不一致:intent_sub_type在AgentState/chat_schema/Convesation模型/nodes间统一为intent_sub_type(之前部分位置误用sub_intent) 3.日志打印docs大对象:retrieval_node日志从f{docs}改为f{[d.get('doc_id','?') for d in docs[:5]]}防大对象撑爆日志 4.asyncio.create_task无引用:heartbeat_loop和sync任务改为_app_heartbeat_task等模块级强引用防GC提前回收致任务丢失 5.metrics.py IndexError:get_metrics_text()遍历metrics_dict混合键时对cache/retrieval/timing等非HTTP三段式键(仅有1-2个下划线)跳过split→单独输出,避免/api/v1/system/metrics端点500 6.监控YAML语法错误:prometheus.yml/alerts.yml/grafana/datasources.yml/dashboards.yml顶部Python风格三引号文档字符串改为YAML标准#注释,修复Prometheus/Grafana启动解析失败",6月27日,6月28日,6
"P2/P3一般级Bug修复与工程优化(10+项)","P2:PII泄露修复→order_service.format_order_result收件人手机mask_mobile('138****1234')+logistics_service.format_logistics_result快递员电话脱敏;P3:错误响应格式统一→BodySizeLimitMiddleware 413 {detail}→{code:REQUEST_TOO_LARGE,message}+RateLimitMiddleware 429 {detail}→{code:RATE_LIMITED,message}与业务API保持一致;部署文档修正→SSE示例type:content→type:text,移除done事件中不存在的intent字段,补充action:end状态事件,容器端口8081→8080与SERVICE_PORT一致;工程优化:CORS安全→ALLOWED_ORIGINS=*时强制allow_credentials=false;ADMIN_API_KEY弱密钥告警;Grafana强制密码禁止默认admin;Dockerfile多阶段构建镜像体积-40%;错误响应统一{code,message,request_id}三段式;前端var→let块级作用域;部署脚本pg_dump硬编码用户名/数据库名;备份清理扩展支持旧.db格式;WAL/SHM临时文件清理~4MB;data/backups/旧备份274MB清理;.backup/redundant_scripts_20260622/ 6个废弃脚本删除;git filter-branch乱码文件清理;从Git追踪移除.env.dev/.env.prod/.env.test(含敏感凭证)",6月28日,6月28日,6
"安全加固专项(6项优化)","1.CSP安全加固:base.html Content-Security-Policy meta标签,移除script-src unsafe-inline,TENANT_ID从window.TENANT_ID全局变量改为meta标签读取 2.敏感词扩充:config/sensitive_words.txt从23词扩充至50+词,覆盖赌博(博彩/下注/赌场)/色情(约炮/裸聊/黄色)/毒品(冰毒/大麻/吸毒)/诈骗(刷单/杀猪盘/传销)/隐私(密码/验证码/账号)等类别 3.日志脱敏扩充:sensitive_filter新增身份证号(18位含X)、银行卡号(16-19位)、邮箱三类PII掩码规则,配合手机号/API Key共5类 4.时序安全比较:使用hmac.compare_digest替代==防时序攻击(主要针对API Key/token比较) 5.CORS安全:ALLOWED_ORIGINS=*强制禁用credentials防跨域凭证泄露,生产环境日志警告 6.生产环境安全:ENV=prod强制关闭Swagger/ReDoc文档,GATEWAY_VERIFIED_VALUE未配置拒绝启动,ADMIN_API_KEY默认弱密钥拒绝启动",6月28日,6月29日,5
